id,Address,Response_Address,Response_X,Response_Y
40118,新北市板橋區民生路一段66號1樓,新北市板橋區東丘里1鄰民生路一段66號,121.473988,25.015160
40119,台北市中正區忠孝西路一段50-1號(站前地下街2-1B號),臺北市中正區黎明里11鄰忠孝西路一段50號,121.515823,25.046303
40120,新北市三重區重陽路一段120巷7號號1樓,新北市三重區光田里10鄰重陽路一段120巷7號,121.486255,25.060192
40121,台北市中正區市民大道三段8號3樓84-85號 (光華3樓),臺北市中正區梅花里14鄰市民大道三段8號,121.532101,25.045216
40122,台中市西屯區文華路197號1樓,臺中市西屯區西平里8鄰文華路197號,120.646148,24.181687
40123,南投縣國姓鄉成功街75號,南投縣國姓鄉石門村10鄰成功街75號,120.855421,24.042505
40124,新竹縣竹北市中華路307-2號,新竹縣竹北市新崙里10鄰中華路307之2號,121.004255,24.834365
40125,台南市北區北門路二段107號,臺南市北區公園里8鄰北門路二段107號,120.212554,22.999604
40126,新竹市東區鐵道路一段28巷42號7F,新竹市東區東園里17鄰鐵道路一段28巷42號,120.985201,24.810925
40127,高雄市三民區建國二路90號,高雄市三民區博愛里5鄰建國二路90號,120.309985,22.637691
40128,台中市南區復興路二段188號,臺中市南區福興里8鄰復興路二段188號,120.666481,24.127333
40129,新竹市北區中央路53號,新竹市北區中山里10鄰中央路53號,120.967631,24.805002
40130,台中市大里區西榮里東明路147巷28號,臺中市大里區西榮里25鄰東明路147巷28號,120.685295,24.112487
40131,台中市西區民龍里3鄰英才路510號1樓B16室,臺中市西區民龍里3鄰英才路510號,120.665018,24.151244
40132,新竹市東區光復路二段200號B158室,新竹市東區立功里9鄰光復路二段200號,121.000444,24.794231
40133,台南市永康區中山南路355號,臺南市永康區東橋里15鄰中山南路355號,120.238977,23.017689
40134,台南市佳里區中和街80號,臺南市佳里區建南里1鄰中和街80號,120.175746,23.160765
40135,高雄市苓雅區福建街300號,高雄市苓雅區林圍里5鄰福建街300號,120.314443,22.624941
40136,台南市東區長榮路二段280號,臺南市東區中西里13鄰長榮路二段280號,120.221256,22.990860
40137,台中市東區大勇街66號B1,臺中市東區振興里8鄰大勇街66號,120.687535,24.134186
40138,台中市西屯區福雅路128巷35號,臺中市西屯區福雅里24鄰福雅路128巷35號,120.620726,24.185068
40139,新竹市北區田美三街62號,新竹市北區金華里25鄰田美三街62號,120.976875,24.816694
40140,高雄市三民區大裕路52號,高雄市三民區本館里16鄰大裕路52號,120.328853,22.654423
40141,新北市蘆洲區信義路160號1樓,新北市蘆洲區仁義里14鄰信義路160號,121.479342,25.083597
40142,台北市華萬區青年路86號1樓,臺北市萬華區忠貞里11鄰青年路86號,121.502511,25.023157
40143,台北市中正區市民大道一段100號B1 89櫃,臺北市中正區黎明里3鄰市民大道一段100號,121.517480,25.048445
40144,台北市中正區市民大道一段100號(地下街 第66櫃),臺北市中正區黎明里3鄰市民大道一段100號,121.517480,25.048445
40145,台北市大同區華亭街8號,臺北市大同區建功里9鄰華亭街8號,121.513185,25.052161
40146,台北市萬華區西寧南路70號3樓之1B,臺北市萬華區西門里5鄰西寧南路70號,121.506047,25.043486
40147,新北市蘆洲區忠孝路10號,新北市蘆洲區得勝里1鄰忠孝路10號,121.470448,25.083926
40148,新竹市東區北大路20號1樓,新竹市東區文華里7鄰北大路20號,120.973770,24.813455
40149,台北市萬華區武昌街二段77號3樓,臺北市萬華區萬壽里6鄰武昌街二段77號,121.505709,25.045076
40150,台北市中正區市民大道一段100號B1-86A櫃,臺北市中正區黎明里3鄰市民大道一段100號,121.517480,25.048445
40151,基隆市中正區義二路12號1樓,基隆市中正區德義里6鄰義二路12號,121.745281,25.130648
40152,新竹縣竹東鎮大同路89號,新竹縣竹東鎮榮樂里8鄰大同路89號,121.089294,24.739004
40153,彰化縣彰化市光復路148號,彰化縣彰化市長樂里9鄰光復路148號,120.540038,24.080835
40154,台中市中區光復路77號,臺中市中區公園里8鄰光復路77號,120.683995,24.141029
40155,彰化縣員林鎮光明南街164號,彰化縣員林市惠來里21鄰光明南街164號,120.572783,23.953271
40156,桃園市蘆竹區南竹路一段37號,桃園市蘆竹區興榮里5鄰南竹路一段37號,121.291495,25.046906
40157,高雄市左營區文恩路69號,高雄市左營區福山里13鄰文恩路69號,120.317815,22.685381
40158,台中市西區公益路119號1樓,臺中市西區民龍里21鄰公益路119號,120.665684,24.150679
40159,台北市中山區敬業三路123號 1F,臺北市中山區成功里21鄰敬業三路123號,121.555539,25.081795
40160,新北市淡水區義山路二段303號1樓,新北市淡水區崁頂里7鄰義山路二段303號,121.439070,25.199127
40161,台北市大安區忠孝東路四段45號10F / 5F,臺北市大安區光武里27鄰忠孝東路四段45號,121.544883,25.041902
40162,台北市中山區南京西路12號6樓,臺北市中山區民安里9鄰南京西路12號,121.521244,25.052326
40163,台北市士林區中山北路六段75號7F,臺北市士林區德行里5鄰中山北路六段53號,121.524613,25.104133
40164,台北市信義區松高路12號5樓,臺北市信義區西村里8鄰松高路12號,121.566800,25.038813
40165,台北市松山區八德路4段138號5樓,臺北市松山區復盛里17鄰八德路四段138號,121.562447,25.048351
40166,桃園市中壢區元化路357號8樓,桃園市中壢區金華里2鄰元化路357號,121.223533,24.962685
40167,新北市板橋區中山路一段152號8樓,新北市板橋區深丘里1鄰中山路一段152號,121.464344,25.011113
40168,新竹市東區中央路229號5樓,新竹市東區復中里7鄰中央路229號,120.974931,24.809666
40169,台北市中山區敬業三路20號4樓(本館),臺北市中山區金泰里14鄰敬業三路20號,121.556712,25.082926
40170,桃園縣中壢市中園路2段501號2樓,桃園市中壢區內定里13鄰中園路二段501號,121.228735,25.000651
40171,台中市北區三民路三段161號B棟7F,臺中市北區新北里3鄰三民路三段166之10號,120.685433,24.152052
40172,台中市西屯區台灣大道3段251號 5F(A01),臺中市西屯區惠來里13鄰臺灣大道三段251號,120.644576,24.164670
40173,台中市西區台灣大道2段459號 8F,臺中市西區忠明里1鄰臺灣大道二段459號,120.661778,24.155266
40174,台中市西屯區台灣大道3段301號 6F,臺中市西屯區惠來里13鄰臺灣大道三段301號,120.643224,24.164663
40175,高雄市前金區成功一路266-1號8F,高雄市前金區榮復里7鄰成功一路266之1號,120.296032,22.619333
40176,屏東縣屏東市中正路72號5F,屏東縣屏東市大同里6鄰中正路72號,120.489655,22.674090
40177,台南市中西區西門路一段658號3F,臺南市中西區小西門里15鄰西門路一段658號,120.198867,22.986730
40178,高雄市左營區博愛二路777號6樓,高雄市左營區新下里29鄰博愛二路777號,120.303118,22.670155
40179,高雄市前鎮區中華五路789號5樓(A01),高雄市前鎮區興邦里12鄰中華五路789號,120.308190,22.595526
